kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 118 : 256 2848 0 0 0 0 0 0 0 
_1.ptx 119 : 256 2048 0 0 0 0 0 0 0 
_1.ptx 120 : 256 1824 0 0 0 0 0 0 0 
_1.ptx 121 : 256 2144 0 0 0 0 0 0 0 
_1.ptx 122 : 256 1632 0 0 0 0 0 0 0 
_1.ptx 123 : 256 2112 0 0 0 0 0 0 0 
_1.ptx 124 : 256 1116 0 0 0 0 0 0 3 
_1.ptx 137 : 186 1116 0 0 0 0 0 0 0 
_1.ptx 138 : 186 966 0 8 8 0 0 0 0 
_1.ptx 126 : 70 294 0 0 0 0 0 0 0 
_1.ptx 127 : 70 798 0 0 0 0 0 0 0 
_1.ptx 140 : 256 2816 0 0 0 0 0 0 0 
_1.ptx 128 : 70 770 0 0 0 0 0 0 0 
_1.ptx 141 : 256 2080 0 0 0 0 0 0 0 
_1.ptx 142 : 256 1856 0 0 0 0 0 0 0 
_1.ptx 129 : 70 490 0 0 0 0 0 0 0 
